레슨,일차,영단어,뜻,예문
02. 감정과 특징 (Emotions & Traits),Day 4,Shy,수줍은,He is too shy to speak in front of people.
02. 감정과 특징 (Emotions & Traits),Day 4,Lonely,외로운,I felt lonely when my friends left.
02. 감정과 특징 (Emotions & Traits),Day 4,Bored,지루한,I am bored with this movie.
02. 감정과 특징 (Emotions & Traits),Day 4,Quiet,조용한,Please be quiet in the library.
02. 감정과 특징 (Emotions & Traits),Day 4,Loud,시끄러운,The music is too loud.
02. 감정과 특징 (Emotions & Traits),Day 4,Famous,유명한,She is a famous singer.
02. 감정과 특징 (Emotions & Traits),Day 4,Popular,인기 있는,Soccer is a popular sport in Korea.
02. 감정과 특징 (Emotions & Traits),Day 4,Important,중요한,Health is more important than money.
02. 감정과 특징 (Emotions & Traits),Day 5,Love,사랑하다,I love my family so much.
02. 감정과 특징 (Emotions & Traits),Day 5,Like,좋아하다,I like chocolate ice cream.
02. 감정과 특징 (Emotions & Traits),Day 5,Hate,싫어하다,I hate getting up early.
02. 감정과 특징 (Emotions & Traits),Day 5,Think,생각하다,I think this is a good idea.
02. 감정과 특징 (Emotions & Traits),Day 5,Feel,느끼다,I feel much better today.
02. 감정과 특징 (Emotions & Traits),Day 5,Cry,울다,Don't cry over the broken vase.
02. 감정과 특징 (Emotions & Traits),Day 5,Laugh,웃다,We laughed at his funny jokes.
02. 감정과 특징 (Emotions & Traits),Day 5,Hope,희망하다,I hope to see you again soon.
02. 감정과 특징 (Emotions & Traits),Day 5,Wish,바라다,I wish I could fly.
02. 감정과 특징 (Emotions & Traits),Day 5,Success,성공,Hard work leads to success.
02. 감정과 특징 (Emotions & Traits),Day 6,be proud of,~을 자랑스러워하다,My parents are proud of my success.
02. 감정과 특징 (Emotions & Traits),Day 6,fall in love,사랑에 빠지다,They fell in love at first sight.
02. 감정과 특징 (Emotions & Traits),Day 6,be afraid of,~을 두려워하다,I am afraid of spiders.
02. 감정과 특징 (Emotions & Traits),Day 6,cheer up,기운을 내다,Cheer up! Things will get better.
02. 감정과 특징 (Emotions & Traits),Day 6,calm down,진정하다,Please calm down and tell me what happened.
02. 감정과 특징 (Emotions & Traits),Day 6,laugh at,~을 보고 웃다,Don't laugh at other people's mistakes.
02. 감정과 특징 (Emotions & Traits),Day 6,feel like,~하고 싶은 기분이다,I feel like eating pizza tonight.
02. 감정과 특징 (Emotions & Traits),Day 6,be worried about,~에 대해 걱정하다,She is worried about the exam.
02. 감정과 특징 (Emotions & Traits),Day 6,be interested in,~에 흥미가 있다,I am interested in Korean history.
02. 감정과 특징 (Emotions & Traits),Day 6,get angry with,~에게 화를 내다,My mom got angry with me for being late.
03. 집과 환경 (Home & Environment),Day 1,Father,아버지,My father cooks dinner on Sundays.
03. 집과 환경 (Home & Environment),Day 1,Mother,어머니,My mother is a doctor.
03. 집과 환경 (Home & Environment),Day 1,Brother,형제,I have an older brother.
03. 집과 환경 (Home & Environment),Day 1,Sister,자매,My sister likes to draw.
03. 집과 환경 (Home & Environment),Day 1,Family,가족,I love my family very much.
03. 집과 환경 (Home & Environment),Day 1,Parent,부모,My parents are always supportive.
03. 집과 환경 (Home & Environment),Day 1,Son,아들,He is the only son in the family.
03. 집과 환경 (Home & Environment),Day 1,Protect,보호하다,We must protect our earth.
03. 집과 환경 (Home & Environment),Day 1,Environment,환경,We should care about the environment.
03. 집과 환경 (Home & Environment),Day 1,Recycle,재활용하다,Please recycle these bottles.
03. 집과 환경 (Home & Environment),Day 2,Aunt,"이모, 고모",My aunt lives in Seoul.
03. 집과 환경 (Home & Environment),Day 2,Uncle,"삼촌, 고모부",My uncle gave me a birthday gift.
03. 집과 환경 (Home & Environment),Day 2,Baby,아기,The baby is sleeping now.
03. 집과 환경 (Home & Environment),Day 2,Child,아이,Every child likes toys.
03. 집과 환경 (Home & Environment),Day 2,People,사람들,There are many people in the bus.
03. 집과 환경 (Home & Environment),Day 2,Person,사람,He is a famous person.
03. 집과 환경 (Home & Environment),Day 2,Man,남자,That man is my uncle.
03. 집과 환경 (Home & Environment),Day 2,Pollution,오염,Air pollution is a serious problem.
03. 집과 환경 (Home & Environment),Day 2,Nature,자연,I love spending time in nature.
03. 집과 환경 (Home & Environment),Day 2,Society,사회,We live in a digital society.
03. 집과 환경 (Home & Environment),Day 3,House,집,My house has a red roof.
03. 집과 환경 (Home & Environment),Day 3,Home,"가정, 집",There is no place like home.
03. 집과 환경 (Home & Environment),Day 3,Room,방,My room is always clean.
03. 집과 환경 (Home & Environment),Day 3,Kitchen,부엌,Mom is cooking in the kitchen.
03. 집과 환경 (Home & Environment),Day 3,Bedroom,침실,I have a small desk in my bedroom.
03. 집과 환경 (Home & Environment),Day 3,Window,창문,Please open the window.
03. 집과 환경 (Home & Environment),Day 3,Door,문,Don't forget to lock the door.
03. 집과 환경 (Home & Environment),Day 3,Location,"장소, 위치",What is the location of the restaurant?
03. 집과 환경 (Home & Environment),Day 3,Distance,거리,What is the distance between Seoul and Busan?
03. 집과 환경 (Home & Environment),Day 3,Direction,방향,Which direction should I go?
03. 집과 환경 (Home & Environment),Day 4,Bed,침대,I go to bed at 10 PM.
03. 집과 환경 (Home & Environment),Day 4,Sofa,소파,We are sitting on the sofa.
03. 집과 환경 (Home & Environment),Day 4,Table,식탁,Put the plates on the table.
03. 집과 환경 (Home & Environment),Day 4,Chair,의자,Pull up a chair and join us.
03. 집과 환경 (Home & Environment),Day 4,Lamp,전등,"Turn on the lamp, please."
03. 집과 환경 (Home & Environment),Day 4,TV,텔레비전,Don't watch TV too much.
03. 집과 환경 (Home & Environment),Day 4,Phone,전화기,My phone is ringing.
03. 집과 환경 (Home & Environment),Day 4,Furniture,가구,We bought new furniture for the house.
03. 집과 환경 (Home & Environment),Day 4,Device,장치,A smartphone is a useful device.
03. 집과 환경 (Home & Environment),Day 4,Technology,기술,Modern technology changes our lives.
03. 집과 환경 (Home & Environment),Day 5,Cook,요리하다,I like to cook for my friends.
03. 집과 환경 (Home & Environment),Day 5,Eat,먹다,We eat breakfast together.
03. 집과 환경 (Home & Environment),Day 5,Wash,씻다,You must wash your hands.
03. 집과 환경 (Home & Environment),Day 5,Help,돕다,Can you help me with this?
03. 집과 환경 (Home & Environment),Day 5,Live,살다,I live in a big city.
03. 집과 환경 (Home & Environment),Day 5,Visit,방문하다,I want to visit Jeju Island.
03. 집과 환경 (Home & Environment),Day 5,Call,전화하다,I will call you later.
03. 집과 환경 (Home & Environment),Day 5,Prepare,준비하다,I need to prepare for the party.
03. 집과 환경 (Home & Environment),Day 5,Collect,수집하다,My hobby is to collect stamps.
03. 집과 환경 (Home & Environment),Day 5,Share,공유하다,Don't forget to share your toys.
03. 집과 환경 (Home & Environment),Day 6,be full of,~로 가득 차다,The room is full of old books.
03. 집과 환경 (Home & Environment),Day 6,take out,(쓰레기 등을) 내놓다,Please take out the trash tonight.
03. 집과 환경 (Home & Environment),Day 6,clean up,"치우다, 청소하다",You should clean up your room.
03. 집과 환경 (Home & Environment),Day 6,next to,~옆에,My house is next to the post office.
03. 집과 환경 (Home & Environment),Day 6,in front of,~앞에,Wait for me in front of the library.
03. 집과 환경 (Home & Environment),Day 6,close to,~와 가까운,Our school is very close to the subway.
03. 집과 환경 (Home & Environment),Day 6,turn on,(전등 등을) 켜다,"It's dark. Turn on the light, please."
03. 집과 환경 (Home & Environment),Day 6,turn off,(전등 등을) 끄다,Don't forget to turn off the TV.
03. 집과 환경 (Home & Environment),Day 6,look for,~을 찾다,I'm looking for my keys.
03. 집과 환경 (Home & Environment),Day 6,hang up,(옷 등을) 걸다,Hang up your coat in the closet.
04. 일상과 시간 (Daily Life & Time),Day 1,Morning,아침,I drink milk every morning.
04. 일상과 시간 (Daily Life & Time),Day 1,Afternoon,오후,Let's play soccer this afternoon.
04. 일상과 시간 (Daily Life & Time),Day 1,Evening,저녁,I watch TV in the evening.
04. 일상과 시간 (Daily Life & Time),Day 1,Night,밤,The stars are bright at night.
04. 일상과 시간 (Daily Life & Time),Day 1,Today,오늘,What is the date today?
04. 일상과 시간 (Daily Life & Time),Day 1,Yesterday,어제,I was busy yesterday.
04. 일상과 시간 (Daily Life & Time),Day 1,Tomorrow,내일,See you tomorrow!
04. 일상과 시간 (Daily Life & Time),Day 1,Schedule,일정,I have a busy schedule today.
04. 일상과 시간 (Daily Life & Time),Day 1,Daily,매일의,Reading is part of my daily life.
04. 일상과 시간 (Daily Life & Time),Day 1,Routine,일상적인 일,My morning routine starts at 7 AM.
04. 일상과 시간 (Daily Life & Time),Day 2,Time,시간,What time is it now?
04. 일상과 시간 (Daily Life & Time),Day 2,Hour,시간(60분),I study for an hour every day.
04. 일상과 시간 (Daily Life & Time),Day 2,Minute,분,"Wait for a minute, please."
04. 일상과 시간 (Daily Life & Time),Day 2,Second,초,He can run 100 meters in 13 seconds.
04. 일상과 시간 (Daily Life & Time),Day 2,Early,이른,I woke up early this morning.
04. 일상과 시간 (Daily Life & Time),Day 2,Late,늦은,Why are you late for school?
04. 일상과 시간 (Daily Life & Time),Day 2,Always,항상,I always brush my teeth.
04. 일상과 시간 (Daily Life & Time),Day 2,Convenient,편리한,The subway is very convenient.
04. 일상과 시간 (Daily Life & Time),Day 2,Efficient,효율적인,This is an efficient way to study.
04. 일상과 시간 (Daily Life & Time),Day 2,Necessary,필요한,Water is necessary for life.
04. 일상과 시간 (Daily Life & Time),Day 3,Hobby,취미,My hobby is taking pictures.
04. 일상과 시간 (Daily Life & Time),Day 3,Sport,스포츠,What is your favorite sport?
04. 일상과 시간 (Daily Life & Time),Day 3,Soccer,축구,We play soccer every Friday.
04. 일상과 시간 (Daily Life & Time),Day 3,Basketball,농구,He is good at playing basketball.
04. 일상과 시간 (Daily Life & Time),Day 3,Baseball,야구,Let's go to a baseball game.
04. 일상과 시간 (Daily Life & Time),Day 3,Run,달리다,I run in the park every morning.
04. 일상과 시간 (Daily Life & Time),Day 3,Walk,걷다,I walk to school.
04. 일상과 시간 (Daily Life & Time),Day 3,Possible,가능한,Is it possible to finish this today?
04. 일상과 시간 (Daily Life & Time),Day 3,Entertainment,"오락, 즐거움",Music is a form of entertainment.
04. 일상과 시간 (Daily Life & Time),Day 3,Instrument,"악기, 도구",Can you play a musical instrument?
04. 일상과 시간 (Daily Life & Time),Day 4,Music,음악,I love listening to pop music.
04. 일상과 시간 (Daily Life & Time),Day 4,Song,노래,This song is very popular.
04. 일상과 시간 (Daily Life & Time),Day 4,Movie,영화,Let's watch a movie tonight.
04. 일상과 시간 (Daily Life & Time),Day 4,Game,게임,He is playing a computer game.
04. 일상과 시간 (Daily Life & Time),Day 4,Photo,사진,Can I take a photo of you?
04. 일상과 시간 (Daily Life & Time),Day 4,Camera,카메라,I bought a new digital camera.
04. 일상과 시간 (Daily Life & Time),Day 4,Watch,"시계, 보다",I watched a great show on TV.
04. 일상과 시간 (Daily Life & Time),Day 4,Creative,창의적인,You have a creative mind.
04. 일상과 시간 (Daily Life & Time),Day 4,Performance,"공연, 성적",The performance was amazing.
04. 일상과 시간 (Daily Life & Time),Day 4,Discover,발견하다,Scientists discovered a new star.
04. 일상과 시간 (Daily Life & Time),Day 5,Listen,듣다,Listen carefully to the teacher.
04. 일상과 시간 (Daily Life & Time),Day 5,Read,읽다,I read a book before bed.
04. 일상과 시간 (Daily Life & Time),Day 5,Write,쓰다,Write your name here.
04. 일상과 시간 (Daily Life & Time),Day 5,Draw,그리다,I like to draw cartoons.
04. 일상과 시간 (Daily Life & Time),Day 5,Paint,칠하다,I want to paint my room blue.
04. 일상과 시간 (Daily Life & Time),Day 5,Travel,여행하다,I want to travel around the world.
04. 일상과 시간 (Daily Life & Time),Day 5,Hike,하이킹하다,We will hike up the mountain.
04. 일상과 시간 (Daily Life & Time),Day 5,Future,미래,What is your dream for the future?
04. 일상과 시간 (Daily Life & Time),Day 5,Adventure,모험,Living in a new country is an adventure.
04. 일상과 시간 (Daily Life & Time),Day 5,Journey,"여정, 여행",Life is a long journey.
04. 일상과 시간 (Daily Life & Time),Day 6,get up,일어나다,I get up at 6:30 every morning.
04. 일상과 시간 (Daily Life & Time),Day 6,go to bed,잠자리에 들다,What time do you go to bed?
04. 일상과 시간 (Daily Life & Time),Day 6,take a shower,샤워를 하다,I take a shower before breakfast.
04. 일상과 시간 (Daily Life & Time),Day 6,on time,"정각에, 제시간에",The train arrived on time.
04. 일상과 시간 (Daily Life & Time),Day 6,all day long,하루 종일,It rained all day long.
04. 일상과 시간 (Daily Life & Time),Day 6,at once,"즉시, 동시에",Do it at once!
04. 일상과 시간 (Daily Life & Time),Day 6,wait for,~을 기다리다,I'm waiting for the bus.
04. 일상과 시간 (Daily Life & Time),Day 6,have a good time,즐거운 시간을 보내다,We had a good time at the party.
04. 일상과 시간 (Daily Life & Time),Day 6,do one's best,최선을 다하다,I will do my best to win.
04. 일상과 시간 (Daily Life & Time),Day 6,take a rest,휴식을 취하다,Let's take a rest under the tree.
05. 날씨와 자연 (Weather & Nature),Day 1,Sun,"태양, 해",The sun is very bright today.
05. 날씨와 자연 (Weather & Nature),Day 1,Sky,하늘,Look at the beautiful blue sky.
05. 날씨와 자연 (Weather & Nature),Day 1,Cloud,구름,There are many white clouds.
05. 날씨와 자연 (Weather & Nature),Day 1,Rain,비,I like the sound of rain.
05. 날씨와 자연 (Weather & Nature),Day 1,Snow,눈,We can make a snowman in the snow.
05. 날씨와 자연 (Weather & Nature),Day 1,Wind,바람,The wind is blowing hard.
05. 날씨와 자연 (Weather & Nature),Day 1,Hot,더운,It is too hot to play outside.
05. 날씨와 자연 (Weather & Nature),Day 1,Temperature,"온도, 기온",The temperature is dropping tonight.
05. 날씨와 자연 (Weather & Nature),Day 1,Climate,기후,Each country has a different climate.
05. 날씨와 자연 (Weather & Nature),Day 1,Forecast,예보,Did you check the weather forecast?
05. 날씨와 자연 (Weather & Nature),Day 2,Cold,추운,Wear a heavy coat; it's cold.
05. 날씨와 자연 (Weather & Nature),Day 2,Warm,따뜻한,I love the warm spring weather.
05. 날씨와 자연 (Weather & Nature),Day 2,Cool,"시원한, 멋진",The evening air is very cool.
05. 날씨와 자연 (Weather & Nature),Day 2,Dry,건조한,The desert is a very dry place.
05. 날씨와 자연 (Weather & Nature),Day 2,Wet,젖은,Don't sit on the wet grass.
05. 날씨와 자연 (Weather & Nature),Day 2,Clear,맑은,The night sky is clear and starry.
05. 날씨와 자연 (Weather & Nature),Day 2,Dark,어두운,It gets dark early in winter.
05. 날씨와 자연 (Weather & Nature),Day 2,Humidity,습도,The high humidity makes me tired.
05. 날씨와 자연 (Weather & Nature),Day 2,Thunder,천둥,I heard loud thunder last night.
05. 날씨와 자연 (Weather & Nature),Day 2,Storm,폭풍,The storm destroyed many trees.
05. 날씨와 자연 (Weather & Nature),Day 3,Tree,나무,There is a big tree in my yard.
05. 날씨와 자연 (Weather & Nature),Day 3,Flower,꽃,These flowers smell so sweet.
05. 날씨와 자연 (Weather & Nature),Day 3,Leaf,잎,Red leafs are falling from trees.
05. 날씨와 자연 (Weather & Nature),Day 3,Grass,"풀, 잔디",Please stay off the grass.
05. 날씨와 자연 (Weather & Nature),Day 3,River,강,We went fishing in the river.
05. 날씨와 자연 (Weather & Nature),Day 3,Lake,호수,The lake is very calm today.
05. 날씨와 자연 (Weather & Nature),Day 3,Sea,바다,I want to swim in the sea.
05. 날씨와 자연 (Weather & Nature),Day 3,Resource,자원,Water is a precious natural resource.
05. 날씨와 자연 (Weather & Nature),Day 3,Species,종(생물),There are many species of birds.
05. 날씨와 자연 (Weather & Nature),Day 3,Ecosystem,생태계,We must protect the forest ecosystem.
05. 날씨와 자연 (Weather & Nature),Day 4,Animal,동물,My favorite animal is a lion.
05. 날씨와 자연 (Weather & Nature),Day 4,Bird,새,A bird is singing on the branch.
05. 날씨와 자연 (Weather & Nature),Day 4,Fish,물고기,There are many small fish here.
05. 날씨와 자연 (Weather & Nature),Day 4,Dog,개,I walk my dog every evening.
05. 날씨와 자연 (Weather & Nature),Day 4,Cat,고양이,My cat likes to sleep on the sofa.
05. 날씨와 자연 (Weather & Nature),Day 4,Earth,"지구, 땅",We live on the planet Earth.
05. 날씨와 자연 (Weather & Nature),Day 4,Star,별,I can see many stars tonight.
05. 날씨와 자연 (Weather & Nature),Day 4,Surround,둘러싸다,Mountains surround the city.
05. 날씨와 자연 (Weather & Nature),Day 4,Natural,자연의,I like to use natural products.
05. 날씨와 자연 (Weather & Nature),Day 4,Wild,야생의,You can see wild animals in the zoo.
05. 날씨와 자연 (Weather & Nature),Day 5,Season,계절,What is your favorite season?
05. 날씨와 자연 (Weather & Nature),Day 5,Spring,봄,Spring is the time for flowers.
05. 날씨와 자연 (Weather & Nature),Day 5,Summer,여름,We go to the beach in summer.
05. 날씨와 자연 (Weather & Nature),Day 5,Fall,가을,The leaves turn yellow in the fall.
05. 날씨와 자연 (Weather & Nature),Day 5,Winter,겨울,It snows a lot here in winter.
05. 날씨와 자연 (Weather & Nature),Day 5,Mountain,산,We are going to climb the mountain.
05. 날씨와 자연 (Weather & Nature),Day 5,Rock,바위,I sat on a large rock.
05. 날씨와 자연 (Weather & Nature),Day 5,Phenomenon,현상,Rainbows are a natural phenomenon.
05. 날씨와 자연 (Weather & Nature),Day 5,Disaster,"재앙, 재난",A flood is a natural disaster.
05. 날씨와 자연 (Weather & Nature),Day 5,Preserve,보존하다,We should preserve historical sites.
05. 날씨와 자연 (Weather & Nature),Day 6,be covered with,~로 덮여 있다,The mountain is covered with snow.
05. 날씨와 자연 (Weather & Nature),Day 6,look after,~을 돌보다,She looks after her pet cat.
05. 날씨와 자연 (Weather & Nature),Day 6,go for a walk,산책을 가다,Let's go for a walk in the park.
05. 날씨와 자연 (Weather & Nature),Day 6,grow up,"성장하다, 자라다",What do you want to be when you grow up?
05. 날씨와 자연 (Weather & Nature),Day 6,cut down,(나무를) 베다,They cut down the old tree.
05. 날씨와 자연 (Weather & Nature),Day 6,be different from,~와 다르다,The weather today is different from yesterday.
05. 날씨와 자연 (Weather & Nature),Day 6,at the same time,동시에,They arrived at the same time.
05. 날씨와 자연 (Weather & Nature),Day 6,one by one,하나씩,Please enter the room one by one.
05. 날씨와 자연 (Weather & Nature),Day 6,out of,"~밖으로, ~이 떨어진",The cat jumped out of the box.
05. 날씨와 자연 (Weather & Nature),Day 6,because of,~때문에,We stayed home because of the heavy rain.
06. 음식과 건강 (Food & Health),Day 1,Food,음식,What is your favorite food?
06. 음식과 건강 (Food & Health),Day 1,Drink,"마시다, 음료",I want to drink some orange juice.
06. 음식과 건강 (Food & Health),Day 1,Water,물,Drink plenty of water every day.
06. 음식과 건강 (Food & Health),Day 1,Fruit,과일,Apples and bananas are fruits.
06. 음식과 건강 (Food & Health),Day 1,Bread,빵,I have bread and jam for breakfast.
06. 음식과 건강 (Food & Health),Day 1,Rice,"밥, 쌀",Koreans eat rice with every meal.
06. 음식과 건강 (Food & Health),Day 1,Egg,계란,I like boiled eggs.
06. 음식과 건강 (Food & Health),Day 1,Nutrition,영양,Milk provides good nutrition for kids.
06. 음식과 건강 (Food & Health),Day 1,Ingredient,재료,Flour is the main ingredient in bread.
06. 음식과 건강 (Food & Health),Day 1,Delicious,맛있는,This pizza is really delicious.
06. 음식과 건강 (Food & Health),Day 2,Meat,고기,I don't eat meat very often.
06. 음식과 건강 (Food & Health),Day 2,Milk,우유,Drink a glass of milk before bed.
06. 음식과 건강 (Food & Health),Day 2,Juice,주스,I prefer apple juice to grape juice.
06. 음식과 건강 (Food & Health),Day 2,Sweet,"단, 달콤한",Chocolate is very sweet.
06. 음식과 건강 (Food & Health),Day 2,Sour,"신, 시큼한",Lemons are very sour.
06. 음식과 건강 (Food & Health),Day 2,Salt,소금,Don't put too much salt in the soup.
